"decimalLatitude","decimalLongitude","value"
54.07135,-9.2984,1
52.19073,4.40426,1
52.01963,6.45863,1
52.31992,6.96397,1
50.8373,2.8996,1
50.8195,2.91436,1
51.96221,4.99979,1
52.2396,5.86302,1
52.19322,4.4042,1
50.86051,5.32773,1
51.17168,3.04633,1
51.89552,4.05839,1
50.92369,3.4374,1
52.29423,4.52562,1
50.8051,3.24113,1
50.93371,3.57946,1
52.01973,6.45859,1
51.81498,3.91969,1
51.81187,3.92082,1
52.15604,6.06083,1
51.87502,4.04581,1
52.11717,4.3406,1
51.96033,5.00299,1
52.29375,4.5212,1
51.98995,5.66782,1
50.86408,2.88456,1
50.86426,2.89876,1
50.97454,5.62911,1
50.8563,2.98423,1
52.01954,6.45866,1
52.08448,5.94727,1
51.8718,4.04884,1
52.15422,6.06765,1
50.9059,5.27179,1
51.02144,5.43083,1
50.81497,5.39775,1
52.08428,5.94734,1
52.01175,6.37041,1
50.76553,4.41859,1
50.83273,3.31145,1
52.17903,4.3988,1
52.01992,6.45842,1
51.89395,4.0485,1
51.81523,3.91737,1
52.02351,6.45272,1
51.95776,5.00538,1
50.88006,3.623,1
51.0901,5.74646,1
52.15631,6.06988,1
51.90155,4.07314,1
52.13679,6.12039,1
52.15649,6.07516,1
51.42932,3.86508,1
51.95217,4.65247,1
51.54555,4.82879,1
51.90755,4.08423,1
50.7849,3.02889,1
52.49349,6.43258,1
52.4904,6.44665,1
50.95168,2.71097,1
51.20913,3.18838,1
50.70933,5.09811,1
51.95205,4.65257,1
52.13631,6.11121,1
52.12753,6.11647,1
50.92929,5.65634,1
52.4904,6.44665,1
50.71814,5.12657,1
51.91555,4.09125,1
52.13631,6.11121,1
52.15637,6.06888,1
51.17333,3.20359,1
50.79876,5.17043,1
53.58695,-9.03283,1
45.0253,10.59538,1
50.70942,5.08395,1
51.42016,3.81499,1
51.9015,4.07368,1
51.04295,3.82002,1
51.23275,4.13276,1
50.87323,4.57499,1
52.52419,6.34063,1
52.10869,-9.78802,1
51.97791,4.16526,1
51.19638,3.97558,1
52.04759,4.20453,1
52.50988,6.28552,1
50.93614,4.14848,1
44.78104,8.63145,1
50.99634,3.53567,1
51.45475,3.80041,1
52.13762,6.12376,1
52.49349,6.43258,1
51.15535,3.20405,1
50.70887,5.16889,1
50.71841,5.08409,1
59.5778,11.10399,1
52.15692,6.07495,1
52.15605,6.07646,1
52.49505,6.42806,1
51.86028,4.067,1
52.14973,6.0532,1
52.1381,6.1207,1
51.18566,3.61809,1
51.97612,4.16723,1
50.75217,5.3822,1
51.01271,5.40212,1
52.04942,4.21342,1
52.13822,6.12322,1
51.43502,3.86453,1
51.95234,4.65185,1
51.23238,3.98959,1
52.10242,-9.78631,1
51.54158,9.50901,1
52.50988,6.28552,1
52.15566,6.07752,1
50.71823,5.11241,1
50.70924,5.11227,1
52.13912,6.10947,1
